location_id,hk_location_id,as_of_day
Philadelphia_Pennsylvania_19134,aada3270b52bdc35d9c66b79172fd65eb4d3107fbf659b5c7887648ec3a71399,2025-10-16
Dallas_Texas_75217,4111bc0de6ae81bfa1225c37c667f79cee2e55116e00f066bdd2a772d876db07,2025-10-16
Naperville_Illinois_60540,fe4361d1e4816335fa21867507ed67660865df4f1b3079986c804634d3d8a6a3,2025-10-16
Gilbert_Arizona_85234,83eefa039012c1cbf0bb954c6d403928a827c44beab8a71903fbc1aa9ecb0884,2025-10-16
Dallas_Texas_75220,3b5a0bb041e60b5e6e241abdd4cb2eb61f42371edf2b3ebdee2a54c784db2bc5,2025-10-16
Franklin_Tennessee_37064,127d4b7334413dd58874de16c84bb61f4583bebc40df953a8154f360ddfc057f,2025-10-16
New York City_New York_10011,05b6dcf56f540e15aa2247c0e5b735da6fe39a431f8344872fa7787976e0a363,2025-10-16
New Bedford_Massachusetts_2740,370d2766341ea46d1c629135542cc7fe024c91ab3a205e589f0df407d59abca1,2025-10-16
Florence_South Carolina_29501,c5bff2a99a78828396bf3994c9770fedc5e205ccfa86036e6334f2df9968bec9,2025-10-16
Edinburg_Texas_78539,b7ca86b41fb3b570ac33c1290fae26a308edabbce21387bc4411364607c4df3c,2025-10-16
Morristown_New Jersey_7960,ef36a93549a62f34720120d7545e9aca01cd9ac78f09e0cb4ba4172f7189924f,2025-10-16
Cary_North Carolina_27511,60ac3c6dd3892aef1afbd738744f371058149046c97c4385b0c4fbe9dd2870ad,2025-10-16
La Mesa_California_91941,5e010aa224e0ce2c862711eb30b0f82a3a30ddef95ced0a14842f90ccce9bb29,2025-10-16
Beaumont_Texas_77705,2e7074ca2821bc93f2ffea72e9ef6f57c9c4e9bc58739d2b7a9a63091589b5b8,2025-10-16
Elyria_Ohio_44035,82fe4dd8ddd5eeb529724616a36f2c3ee3e51cb174e9355125eda27d0f00e119,2025-10-16
Hagerstown_Maryland_21740,3c12f9df5f4af35ca4a64d00925637202c57be9ff2371110df107b135543ec9f,2025-10-16
Springdale_Arkansas_72762,549c39808030cb488fb968ea457e34c774d64ac26bbaabc8518982b299657683,2025-10-16
Roseville_California_95661,98e167df98b392631138bbef8ed571fce1cb60a29d0dc3d038a98b8845a1cb0d,2025-10-16
Green Bay_Wisconsin_54302,4b6609c492e45ea97cd4e98f1e3920f1e1fc596f27c2d02f9ccd5165c7940cdb,2025-10-16
Mount Vernon_New York_10550,33359443bba85adaa93a9a1e0874fa24d443bdfc5a57a66ba4b8c9740f82189b,2025-10-16
Round Rock_Texas_78664,4fbcf20b894f8e2577ee98f9e29f0ceae83bbd7f48f73910dbf26fcfccb381dc,2025-10-16
Jackson_Tennessee_38301,ffa0cfd372625c4df40ec3b49420a678748296495409b92e2cf1d21f1457857e,2025-10-16
Daytona Beach_Florida_32114,b07350d6c0437d76b67f386be315f32d1d0588c0b36c7f1dd0bb63561f6eef60,2025-10-16
Quincy_Massachusetts_2169,bab009183d65166f6c11bdb2bc2b879c47b5bf448a938b3d6cf9409541992a46,2025-10-16
Sandy Springs_Georgia_30328,e58dc59d4298086703d4de7fbdb5e7411555e7a96a79210fae49b6e11e3b2441,2025-10-16
Montebello_California_90640,28d77f95f63d051691197fee3a57dd671b6547ad3f960a646a43c83b7c42b603,2025-10-16
Brownsville_Texas_78521,b1544f0be6de41c96c140857ffdd13e447b411285cc69b6ef9f7b18ebab4aaa7,2025-10-16
