sale_id,hk_sale_id,as_of_day
Standard Class_21.8_2,7379e3f364bc9782e7fd9413642b007171c021a080a707f661b5973f4de9c154,2025-10-16
Standard Class_15.26_7,d67feec3b0e0a53c2d4761bf1433f4c846f7ec66c164384456c2471ac4d64798,2025-10-16
First Class_27.552_3,4776de0969c896e04222373a453a7d16f5d0b58f6ae3af03b9cf9e4337e4417a,2025-10-16
First Class_18.28_2,263ee69a54fc0bf75376a60111228c3d3d0ffcf729b235fb65d628eb332a3bb2,2025-10-16
Standard Class_149.95_5,9eba90bbc849ae50dac06bb55732c227c0bddd8c569549e20e6008667255e98d,2025-10-16
Standard Class_200.064_3,3f3d2ab48c05ee4210fe794eac8f9e5352fee5f41014b5bdfb105e0f50895c49,2025-10-16
Same Day_13.44_3,25febc6e8d79336e018f3a67e783111d1ab770ac4ef04d084d8aa966654925c7,2025-10-16
Standard Class_201.584_2,32c5f8b656859fb1c23635e44ed1b84ffef6047bdeeed44fc27d76dcf0067d06,2025-10-16
Standard Class_786.48_8,75b854356b6a359fdb717a34d79ffc64daf56aca351382d80759aa7d0cf7ca28,2025-10-16
First Class_254.24_7,60dbe181875b3a1c03f3cd5d2dd45045871f81f87e4bd8df90710c5e47877871,2025-10-16
Standard Class_11.84_4,ab7acaeb701994fb8415647cddc3012702cb377e27021c66550a93105a376ddf,2025-10-16
Standard Class_526.45_5,ba759ce529df5376404711147a2ed803cdf1890ee0f94488943a69fa57980fe6,2025-10-16
Second Class_27.93_3,4095da61004d48784bfdd13cb49f942fc31b6b2f9217744314900f103b23bd21,2025-10-16
Same Day_70.448_7,a02e5d088efc06258662f3958fa079b81bc44003ed6491cb5846640507c4370a,2025-10-16
Standard Class_19.36_2,0cae74b9564d08160f6e2409841051a7bc7b7f46e866cd68273b8ce2dc9aec1a,2025-10-16
First Class_191.82_3,fdbf6b3f2970c343425969774139e55652094777458c92ebdbe386877bab3b88,2025-10-16
Second Class_45.36_7,e7491be652095f67e3c2d43d6ff1176dc2e28066ba5d29626461180d9de231b2,2025-10-16
Second Class_4164.05_5,a28574104e70ccc96f55628b8594d6e1c7e7e97f59d38af5e0a08e8f5d6007ad,2025-10-16
Same Day_447.944_7,cbf30359ff628377af8ab8b7eb16fd35a1091c9c2f2969883bed008e3a236b1d,2025-10-16
Standard Class_9099.93_7,1a7d6a5bd5c19427a4716a14cee41f3952ca649011a9ffa601494b74c56cb7c4,2025-10-16
Second Class_134.376_3,cbdc7853fc9992a681f8f9e7bda9f50d6b17b84dce380fa288a6e15e298ddf94,2025-10-16
Standard Class_11.09_1,150c90cef45ccc01a352c30376e438d05bfe88a924483528d803528232efec75,2025-10-16
Standard Class_118.99_1,9b66b0ce58dae0948c694fff2037100ec62c4984c935965fb60c452a37e7aecb,2025-10-16
Standard Class_1325.85_5,6bc65c936897a2fdef1dc6c767ad8dc46b9bb8f0020ecc1d647b0fbee8eba8ab,2025-10-16
First Class_221.06_7,6ec08d7b5fa90c318ac3dd0d358484be7efdf7a7da1052507b902bd4152c40b3,2025-10-16
Second Class_16.776_3,c159910d4e7fdbdf509bf03076a8ce78ee5cfe2bb38bc4cc852ead46a5ee92f3,2025-10-16
Standard Class_8.544_4,28ba92b3f79b7790097ae2d99ab42cda784f42f1842d66a1e729d67491fe8293,2025-10-16
